Latitude ( ° ),Longitude ( ° ),Optimal Tilt   ( ° ),Optimal  Azimuth ( ° ),Horizontal Radiation(KW-hr/m^2/Year),Fixed Tilt Radiation    (KW-hr/m^2/Year),Fixed Energy          (KW-hr/m^2/Year),Monthly Tilt Radiation         (KW-hr/m^2/Year),Monthly Energy (KW-hr/m^2/Year),Fixed vs Monthly Energy % Difference,Horizontal Vs Tilt % diff
34.75,72.75,35.00,0.00,1934.50,2201.45,365.46,2317.74,384.70,5.00,12.13
34.75,73.25,34.00,0.00,1854.20,2101.64,353.55,2210.23,371.76,4.90,11.77
34.75,73.75,34.00,0.00,1854.20,2101.64,361.19,2210.23,379.80,4.90,11.77
34.75,74.25,34.00,0.00,1689.95,1894.07,326.70,1988.29,342.92,4.73,10.78
34.75,74.75,34.00,0.00,1689.95,1894.07,329.76,1988.29,346.14,4.73,10.78
34.75,75.25,35.00,0.00,1715.50,1927.71,338.43,2022.85,355.09,4.69,11.01
34.75,75.75,35.00,0.00,1715.50,1927.71,339.88,2022.85,356.62,4.69,11.01
34.75,76.25,36.00,0.00,1722.80,1946.59,342.04,2042.52,358.84,4.68,11.50
35.25,71.75,33.00,0.00,1686.30,1869.69,315.16,1957.14,329.90,4.47,9.81
35.25,72.25,34.00,0.00,1737.40,1944.50,330.60,2038.77,346.61,4.62,10.65
35.25,72.75,34.00,0.00,1737.40,1944.50,332.39,2038.77,348.49,4.62,10.65
35.25,73.25,33.00,0.00,1642.50,1824.62,312.31,1909.10,326.78,4.43,9.98
35.25,73.75,34.00,0.00,1642.50,1824.62,315.46,1909.10,330.08,4.43,9.98
35.25,74.25,34.00,0.00,1664.40,1860.29,322.27,1947.87,337.43,4.49,10.53
35.25,74.75,34.00,0.00,1664.40,1860.29,324.50,1947.87,339.76,4.49,10.53
35.25,75.25,35.00,0.00,1638.85,1829.72,320.93,1913.33,335.59,4.37,10.43
35.25,75.75,35.00,0.00,1638.85,1829.72,322.01,1913.33,336.73,4.37,10.43
35.25,76.25,36.00,0.00,1657.10,1862.82,329.92,1947.82,344.95,4.36,11.04
35.25,76.75,36.00,0.00,1657.10,1862.82,335.48,1947.82,350.76,4.36,11.04
35.75,71.75,34.00,0.00,1686.30,1879.43,325.99,1966.27,341.08,4.42,10.28
35.75,72.25,35.00,0.00,1737.40,1955.31,341.74,2048.88,358.09,4.57,11.14
35.75,72.75,35.00,0.00,1737.40,1955.31,342.54,2048.88,358.93,4.57,11.14
35.75,73.25,34.00,0.00,1642.50,1834.12,319.07,1918.12,333.68,4.38,10.45
35.75,73.75,34.00,0.00,1642.50,1834.12,316.57,1918.12,331.07,4.38,10.45
35.75,74.25,35.00,0.00,1664.40,1870.31,322.69,1957.34,337.69,4.44,11.01
35.75,74.75,35.00,0.00,1664.40,1870.31,326.03,1957.34,341.19,4.44,11.01
35.75,75.25,35.00,0.00,1638.85,1839.47,324.66,1922.52,339.31,4.32,10.91
35.75,75.75,35.00,0.00,1638.85,1839.47,328.38,1922.52,343.19,4.32,10.91
35.75,76.25,36.00,0.00,1657.10,1873.21,338.77,1957.50,353.99,4.30,11.54
36.25,71.75,36.00,0.00,1766.60,2004.55,353.83,2096.92,370.14,4.41,11.87
36.25,72.25,35.00,0.00,1715.50,1928.41,340.52,2014.88,355.81,4.30,11.04
36.25,72.75,36.00,0.00,1715.50,1928.41,340.46,2014.88,355.75,4.30,11.04
36.25,73.25,36.00,0.00,1679.00,1891.87,333.31,1977.29,348.36,4.32,11.25
36.25,73.75,36.00,0.00,1679.00,1891.87,330.61,1977.29,345.53,4.32,11.25
36.25,74.25,36.00,0.00,1624.25,1827.28,320.21,1907.60,334.28,4.21,11.11
36.25,74.75,36.00,0.00,1624.25,1827.28,323.09,1907.60,337.28,4.21,11.11
36.25,75.25,37.00,0.00,1602.35,1810.57,324.25,1889.45,338.35,4.17,11.50
36.25,75.75,37.00,0.00,1602.35,1810.57,327.48,1889.45,341.72,4.17,11.50
36.75,72.25,36.00,0.00,1715.50,1939.56,344.30,2025.10,359.50,4.23,11.55
36.75,72.75,36.00,0.00,1715.50,1939.56,344.09,2025.10,359.28,4.23,11.55
36.75,73.25,37.00,0.00,1679.00,1902.87,337.82,1987.36,352.82,4.25,11.77
36.75,73.75,37.00,0.00,1679.00,1902.87,336.92,1987.36,351.88,4.25,11.77
36.75,74.25,37.00,0.00,1624.25,1837.63,326.90,1917.18,341.05,4.15,11.61
36.75,74.75,37.00,0.00,1624.25,1837.63,328.09,1917.18,342.29,4.15,11.61
36.75,75.25,38.00,0.00,1602.35,1821.02,326.36,1899.04,340.32,4.10,12.01
23.75,63.75,24.00,0.00,2248.40,2396.84,381.76,2544.27,405.19,5.78,6.19
24.25,67.75,25.00,0.00,1989.25,2121.44,336.78,2236.99,355.10,5.16,6.23
24.25,68.25,25.00,0.00,1912.60,2028.10,321.20,2136.07,338.29,5.05,5.70
24.25,68.75,25.00,0.00,1912.60,2028.10,320.65,2136.07,337.71,5.05,5.70
24.25,70.25,25.00,0.00,1898.00,2004.29,316.45,2111.24,333.33,5.07,5.30
29.25,61.25,29.00,0.00,1934.50,2102.68,342.18,2215.52,360.49,5.08,8.00
29.75,61.25,30.00,0.00,1934.50,2112.07,340.81,2224.56,358.90,5.04,8.41
32.75,75.25,33.00,0.00,1930.85,2182.09,355.83,2300.25,375.00,5.11,11.51
34.75,76.75,36.00,0.00,1722.80,1946.59,345.91,2042.52,362.90,4.68,11.50
35.25,76.75,36.00,0.00,1657.10,1862.82,335.48,1947.82,350.76,4.36,11.04
35.75,76.25,36.00,0.00,1657.10,1873.21,338.77,1957.50,353.99,4.30,11.54
35.75,77.25,39.00,0.00,1576.80,1787.75,326.20,1862.77,339.86,4.02,11.80
36.25,71.25,36.00,0.00,1766.60,2004.55,353.43,2096.92,369.72,4.41,11.87
36.25,75.75,37.00,0.00,1602.35,1810.57,327.48,1889.45,341.72,4.17,11.50
36.75,73.25,37.00,0.00,1679.00,1902.87,337.82,1987.36,352.82,4.25,11.77
36.75,75.25,38.00,0.00,1602.35,1821.02,326.36,1899.04,340.32,4.10,12.01
36.75,75.75,38.00,0.00,1602.35,1821.02,326.57,1899.04,340.54,4.10,12.01
