Latitude ( ° ),Longitude ( ° ),Optimal Tilt   ( ° ),Optimal  Azimuth ( ° ),Horizontal Radiation(KW-hr/m^2/Year),Fixed Tilt Radiation    (KW-hr/m^2/Year),Fixed Energy          (KW-hr/m^2/Year),Monthly Tilt Radiation         (KW-hr/m^2/Year),Monthly Energy (KW-hr/m^2/Year),Fixed vs Monthly Energy % Difference,Horizontal Vs Tilt % diff
26.75,66.25,28.00,0.00,1992.90,2150.46,345.10,2271.70,364.49,5.32,7.33
26.75,66.75,28.00,0.00,1992.90,2150.46,344.13,2271.70,363.47,5.32,7.33
26.75,67.25,27.00,0.00,1927.20,2065.41,327.28,2176.14,344.79,5.08,6.69
26.75,67.75,27.00,0.00,1927.20,2065.41,325.08,2176.14,342.48,5.08,6.69
26.75,68.25,27.00,0.00,1912.60,2060.94,324.26,2172.13,341.71,5.11,7.20
26.75,68.75,27.00,0.00,1912.60,2060.94,324.53,2172.13,342.01,5.11,7.20
26.75,69.25,27.00,0.00,1872.45,2010.63,316.60,2116.88,333.31,5.01,6.87
27.25,63.25,28.00,0.00,2014.80,2173.62,350.17,2296.33,369.87,5.32,7.31
27.25,63.75,28.00,0.00,2014.80,2173.62,349.96,2296.33,369.64,5.33,7.31
27.25,64.25,28.00,0.00,2025.75,2182.58,352.18,2306.08,372.04,5.34,7.19
27.25,64.75,28.00,0.00,2025.75,2182.58,353.05,2306.08,372.96,5.34,7.19
27.25,65.25,29.00,0.00,2040.35,2208.97,358.07,2336.53,378.67,5.44,7.63
27.25,65.75,29.00,0.00,2040.35,2208.97,358.00,2336.53,378.59,5.44,7.63
27.25,66.25,29.00,0.00,1996.55,2165.21,350.40,2288.52,370.28,5.37,7.79
27.25,66.75,29.00,0.00,1996.55,2165.21,348.66,2288.52,368.44,5.37,7.79
27.25,67.25,28.00,0.00,1923.55,2074.11,329.34,2186.77,347.17,5.14,7.26
27.25,67.75,28.00,0.00,1923.55,2074.11,326.25,2186.77,343.92,5.14,7.26
27.25,68.25,28.00,0.00,1952.75,2111.15,331.76,2227.76,350.03,5.22,7.50
27.25,68.75,28.00,0.00,1952.75,2111.15,332.15,2227.76,350.44,5.22,7.50
27.25,69.25,28.00,0.00,1887.05,2033.18,320.06,2142.60,337.26,5.10,7.19
27.75,63.25,29.00,0.00,2014.80,2182.91,349.99,2305.30,369.54,5.29,7.70
27.75,63.75,29.00,0.00,2014.80,2182.91,349.69,2305.30,369.22,5.29,7.70
27.75,64.25,29.00,0.00,2025.75,2191.83,351.33,2314.98,371.01,5.30,7.58
27.75,64.75,29.00,0.00,2025.75,2191.83,352.63,2314.98,372.38,5.30,7.58
27.75,65.25,29.00,0.00,2040.35,2218.66,359.26,2345.92,379.78,5.40,8.04
27.75,65.75,29.00,0.00,2040.35,2218.66,361.19,2345.92,381.82,5.40,8.04
27.75,66.25,29.00,0.00,1996.55,2174.61,354.59,2297.73,374.57,5.34,8.19
27.75,66.75,29.00,0.00,1996.55,2174.61,352.35,2297.73,372.21,5.34,8.19
27.75,67.25,29.00,0.00,1923.55,2082.67,331.94,2195.19,349.81,5.11,7.64
27.75,67.75,29.00,0.00,1923.55,2082.67,328.07,2195.19,345.73,5.11,7.64
27.75,68.25,29.00,0.00,1952.75,2120.05,333.14,2236.52,351.38,5.19,7.89
27.75,68.75,29.00,0.00,1952.75,2120.05,333.30,2236.52,351.56,5.19,7.89
27.75,69.25,28.00,0.00,1887.05,2041.35,321.21,2150.85,338.40,5.08,7.56
27.75,69.75,28.00,0.00,1887.05,2041.35,321.49,2150.85,338.69,5.08,7.56
27.75,70.75,28.00,0.00,1872.45,2014.69,317.59,2120.31,334.21,4.97,7.06
28.25,63.25,29.00,0.00,1989.25,2152.83,343.76,2270.91,362.57,5.19,7.60
28.25,63.75,28.00,0.00,1989.25,2152.83,344.14,2270.91,362.96,5.19,7.60
28.25,64.25,29.00,0.00,1978.30,2147.43,344.28,2266.42,363.29,5.23,7.88
28.25,64.75,29.00,0.00,1978.30,2147.43,345.02,2266.42,364.07,5.23,7.88
28.25,65.25,29.00,0.00,2022.10,2188.53,352.78,2310.76,372.41,5.27,7.60
28.25,65.75,29.00,0.00,2022.10,2188.53,355.29,2310.76,375.06,5.27,7.60
28.25,66.25,30.00,0.00,1996.55,2178.45,357.61,2301.83,377.78,5.34,8.35
28.25,66.75,30.00,0.00,1996.55,2178.45,354.79,2301.83,374.80,5.34,8.35
28.25,67.25,29.00,0.00,1883.40,2047.78,327.47,2159.47,345.26,5.15,8.03
28.25,67.75,29.00,0.00,1883.40,2047.78,323.04,2159.47,340.59,5.15,8.03
28.25,68.25,29.00,0.00,1883.40,2037.44,320.05,2147.96,337.37,5.14,7.56
28.25,68.75,29.00,0.00,1883.40,2037.44,320.01,2147.96,337.34,5.14,7.56
28.25,69.25,28.00,0.00,1912.60,2060.59,323.83,2172.93,341.47,5.17,7.18
28.25,69.75,28.00,0.00,1912.60,2060.59,324.04,2172.93,341.69,5.17,7.18
28.25,70.25,28.00,0.00,1894.35,2041.58,321.23,2150.66,338.37,5.07,7.21
28.25,70.75,28.00,0.00,1894.35,2041.58,321.44,2150.66,338.59,5.07,7.21
28.25,71.25,28.00,0.00,1828.65,1970.72,310.53,2072.91,326.60,4.92,7.21
28.25,71.75,28.00,0.00,1828.65,1970.72,310.61,2072.91,326.69,4.92,7.21
28.75,61.75,30.00,0.00,1967.35,2142.61,346.86,2260.54,365.89,5.20,8.18
28.75,62.25,29.00,0.00,1989.25,2166.06,348.75,2285.29,367.88,5.20,8.16
28.75,62.75,29.00,0.00,1989.25,2166.06,347.89,2285.29,366.97,5.20,8.16
28.75,63.25,29.00,0.00,1989.25,2162.12,346.84,2280.01,365.67,5.15,8.00
28.75,63.75,29.00,0.00,1989.25,2162.12,347.10,2280.01,365.95,5.15,8.00
28.75,64.25,30.00,0.00,1978.30,2156.89,347.03,2275.67,366.07,5.20,8.28
28.75,64.75,30.00,0.00,1978.30,2156.89,347.62,2275.67,366.69,5.20,8.28
28.75,65.25,30.00,0.00,2022.10,2198.29,354.75,2320.02,374.33,5.23,8.01
28.75,65.75,30.00,0.00,2022.10,2198.29,356.77,2320.02,376.45,5.23,8.01
28.75,66.25,31.00,0.00,1996.55,2188.46,360.84,2311.47,381.03,5.30,8.77
