LAT,LON
24.25,67.75
24.25,68.25
24.25,68.75
24.25,69.75
24.25,70.75
24.75,67.75
24.75,68.25
24.75,68.75
24.75,69.25
24.75,69.75
24.75,70.25
24.75,70.75
25.25,61.75
25.25,62.25
25.25,63.25
25.25,66.75
25.25,67.25
25.25,67.75
25.25,68.25
25.25,68.75
25.25,69.25
25.25,69.75
25.25,70.25
25.25,70.75
25.75,62.25
25.75,62.75
25.75,63.25
25.75,63.75
25.75,64.25
25.75,64.75
25.75,65.25
25.75,65.75
25.75,66.25
25.75,66.75
25.75,67.25
25.75,67.75
25.75,68.25
25.75,68.75
25.75,69.25
25.75,69.75
25.75,70.25
26.25,62.25
26.25,62.75
26.25,63.25
26.25,63.75
26.25,64.25
26.25,64.75
26.25,65.25
26.25,65.75
26.25,66.25
26.25,66.75
26.25,67.25
26.25,67.75
26.25,68.25
26.25,68.75
26.25,69.25
26.25,69.75
26.75,63.25
26.75,63.75
26.75,64.25
26.75,64.75
26.75,65.25
26.75,65.75
26.75,66.25
26.75,66.75
26.75,67.25
26.75,67.75
26.75,68.25
26.75,68.75
26.75,69.25
27.25,63.25
27.25,63.75
27.25,64.25
27.25,64.75
27.25,65.25
27.25,65.75
27.25,66.25
27.25,66.75
27.25,67.25
27.25,67.75
27.25,68.25
27.25,68.75
27.25,69.25
27.75,63.25
27.75,63.75
27.75,64.25
27.75,64.75
27.75,65.25
27.75,65.75
27.75,66.25
27.75,66.75
27.75,67.25
27.75,67.75
27.75,68.25
27.75,68.75
27.75,69.25
27.75,69.75
27.75,70.75
28.25,63.25
28.25,63.75
28.25,64.25
28.25,64.75
28.25,65.25
28.25,65.75
28.25,66.25
28.25,66.75
28.25,67.25
28.25,67.75
28.25,68.25
28.25,68.75
28.25,69.25
28.25,69.75
28.25,70.25
28.25,70.75
28.25,71.25
28.25,71.75
28.75,61.75
28.75,62.25
28.75,62.75
28.75,63.25
28.75,63.75
28.75,64.25
28.75,64.75
28.75,65.25
28.75,65.75
28.75,66.25
28.75,66.75
28.75,67.25
28.75,67.75
28.75,68.25
28.75,68.75
28.75,69.25
28.75,69.75
28.75,70.25
28.75,70.75
28.75,71.25
28.75,71.75
28.75,72.25
29.25,61.75
29.25,62.25
29.25,62.75
29.25,63.25
29.25,63.75
29.25,64.25
29.25,64.75
29.25,65.25
29.25,65.75
29.25,66.25
29.25,66.75
29.25,67.25
29.25,67.75
29.25,68.25
29.25,68.75
29.25,69.25
29.25,69.75
29.25,70.25
29.25,70.75
29.25,71.25
29.25,71.75
29.25,72.25
29.25,72.75
29.75,66.25
29.75,66.75
29.75,67.25
29.75,67.75
29.75,68.25
29.75,68.75
29.75,69.25
29.75,69.75
29.75,70.25
29.75,70.75
29.75,71.25
29.75,71.75
29.75,72.25
29.75,72.75
29.75,73.25
30.25,66.75
30.25,67.25
30.25,67.75
30.25,68.25
30.25,68.75
30.25,69.25
30.25,69.75
30.25,70.25
30.25,70.75
30.25,71.25
30.25,71.75
30.25,72.25
30.25,72.75
30.25,73.25
30.25,73.75
30.75,66.75
30.75,67.25
30.75,67.75
30.75,68.25
30.75,68.75
30.75,69.25
30.75,69.75
30.75,70.25
30.75,70.75
30.75,71.25
30.75,71.75
30.75,72.25
30.75,72.75
30.75,73.25
30.75,73.75
30.75,74.25
31.25,67.75
31.25,68.25
31.25,68.75
31.25,69.25
31.25,69.75
31.25,70.25
31.25,70.75
31.25,71.25
31.25,71.75
31.25,72.25
31.25,72.75
31.25,73.25
31.25,73.75
31.25,74.25
31.75,68.25
31.75,69.25
31.75,69.75
31.75,70.25
31.75,70.75
31.75,71.25
31.75,71.75
31.75,72.25
31.75,72.75
31.75,73.25
31.75,73.75
31.75,74.25
32.25,69.75
32.25,70.25
32.25,70.75
32.25,71.25
32.25,71.75
32.25,72.25
32.25,72.75
32.25,73.25
32.25,73.75
32.25,74.25
32.25,74.75
32.25,75.25
32.75,69.75
32.75,70.25
32.75,70.75
32.75,71.25
32.75,71.75
32.75,72.25
32.75,72.75
32.75,73.25
32.75,73.75
32.75,74.25
33.25,70.25
33.25,70.75
33.25,71.25
33.25,71.75
33.25,72.25
33.25,72.75
33.25,73.25
33.25,73.75
33.75,70.25
33.75,70.75
33.75,71.25
33.75,71.75
33.75,72.25
33.75,72.75
33.75,73.25
33.75,73.75
34.25,71.25
34.25,71.75
34.25,72.25
34.25,72.75
34.25,73.25
34.25,73.75
34.75,71.25
34.75,71.75
34.75,72.25
34.75,72.75
34.75,73.25
34.75,73.75
34.75,74.25
34.75,74.75
34.75,75.25
34.75,75.75
34.75,76.25
35.25,71.75
35.25,72.25
35.25,72.75
35.25,73.25
35.25,73.75
35.25,74.25
35.25,74.75
35.25,75.25
35.25,75.75
35.25,76.25
35.25,76.75
35.75,71.75
35.75,72.25
35.75,72.75
35.75,73.25
35.75,73.75
35.75,74.25
35.75,74.75
35.75,75.25
35.75,75.75
35.75,76.25
36.25,71.75
36.25,72.25
36.25,72.75
36.25,73.25
36.25,73.75
36.25,74.25
36.25,74.75
36.25,75.25
36.25,75.75
36.75,72.25
36.75,72.75
36.75,73.25
36.75,73.75
36.75,74.25
36.75,74.75
36.75,75.25
