LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
24.75,75.25,0.14,0.14,0.14,0.15,0.16,0.17,0.16,0.15,0.14,0.12,0.13,0.14,0.14
24.75,75.75,0.14,0.14,0.14,0.15,0.16,0.17,0.16,0.15,0.14,0.12,0.13,0.14,0.14
24.75,76.25,0.13,0.14,0.14,0.15,0.16,0.16,0.16,0.15,0.14,0.12,0.13,0.13,0.14
24.75,76.75,0.13,0.14,0.14,0.15,0.16,0.16,0.16,0.15,0.14,0.12,0.13,0.13,0.14
24.75,77.25,0.14,0.14,0.14,0.15,0.15,0.17,0.16,0.15,0.13,0.12,0.12,0.13,0.14
24.75,77.75,0.14,0.14,0.14,0.15,0.15,0.17,0.16,0.15,0.13,0.12,0.12,0.13,0.14
24.75,78.25,0.14,0.13,0.14,0.15,0.16,0.17,0.16,0.15,0.13,0.11,0.12,0.12,0.14
25.25,60.25,0.13,0.14,0.13,0.14,0.15,0.17,0.17,0.17,0.15,0.14,0.14,0.14,0.15
25.25,60.75,0.13,0.14,0.13,0.14,0.15,0.17,0.17,0.17,0.15,0.14,0.14,0.14,0.15
25.25,61.25,0.14,0.14,0.14,0.15,0.15,0.17,0.19,0.18,0.15,0.13,0.13,0.13,0.15
25.25,61.75,0.14,0.14,0.14,0.15,0.15,0.17,0.19,0.18,0.15,0.13,0.13,0.13,0.15
25.25,62.25,0.13,0.12,0.12,0.13,0.13,0.15,0.16,0.16,0.13,0.12,0.12,0.12,0.13
25.25,62.75,0.13,0.12,0.12,0.13,0.13,0.15,0.16,0.16,0.13,0.12,0.12,0.12,0.13
25.25,63.25,0.14,0.14,0.14,0.15,0.15,0.17,0.18,0.18,0.15,0.14,0.14,0.14,0.15
25.25,63.75,0.14,0.14,0.14,0.15,0.15,0.17,0.18,0.18,0.15,0.14,0.14,0.14,0.15
25.25,64.25,0.16,0.16,0.16,0.17,0.18,0.21,0.22,0.2,0.17,0.15,0.16,0.15,0.17
25.25,64.75,0.16,0.16,0.16,0.17,0.18,0.21,0.22,0.2,0.17,0.15,0.16,0.15,0.17
25.25,65.25,0.16,0.16,0.16,0.17,0.19,0.21,0.22,0.21,0.18,0.15,0.15,0.16,0.18
25.25,65.75,0.16,0.16,0.16,0.17,0.19,0.21,0.22,0.21,0.18,0.15,0.15,0.16,0.18
25.25,66.25,0.14,0.14,0.14,0.16,0.18,0.2,0.2,0.19,0.16,0.14,0.13,0.14,0.16
25.25,66.75,0.14,0.14,0.14,0.16,0.18,0.2,0.2,0.19,0.16,0.14,0.13,0.14,0.16
25.25,67.25,0.18,0.18,0.19,0.2,0.22,0.25,0.26,0.24,0.19,0.17,0.17,0.18,0.2
25.25,67.75,0.18,0.18,0.19,0.2,0.22,0.25,0.26,0.24,0.19,0.17,0.17,0.18,0.2
25.25,68.25,0.21,0.21,0.22,0.24,0.26,0.29,0.29,0.26,0.23,0.2,0.21,0.21,0.24
25.25,68.75,0.21,0.21,0.22,0.24,0.26,0.29,0.29,0.26,0.23,0.2,0.21,0.21,0.24
25.25,69.25,0.15,0.15,0.15,0.18,0.19,0.21,0.2,0.18,0.16,0.14,0.14,0.15,0.17
25.25,69.75,0.15,0.15,0.15,0.18,0.19,0.21,0.2,0.18,0.16,0.14,0.14,0.15,0.17
25.25,70.25,0.16,0.16,0.16,0.17,0.19,0.21,0.21,0.17,0.14,0.13,0.13,0.14,0.16
25.25,70.75,0.16,0.16,0.16,0.17,0.19,0.21,0.21,0.17,0.14,0.13,0.13,0.14,0.16
25.25,71.25,0.18,0.18,0.19,0.2,0.22,0.23,0.23,0.18,0.16,0.15,0.15,0.17,0.19
25.25,71.75,0.18,0.18,0.19,0.2,0.22,0.23,0.23,0.18,0.16,0.15,0.15,0.17,0.19
25.25,72.25,0.23,0.22,0.24,0.26,0.28,0.3,0.29,0.25,0.21,0.2,0.22,0.22,0.24
25.25,72.75,0.23,0.22,0.24,0.26,0.28,0.3,0.29,0.25,0.21,0.2,0.22,0.22,0.24
25.25,73.25,0.19,0.18,0.2,0.21,0.24,0.25,0.24,0.21,0.17,0.16,0.18,0.18,0.2
25.25,73.75,0.19,0.18,0.2,0.21,0.24,0.25,0.24,0.21,0.17,0.16,0.18,0.18,0.2
25.25,74.25,0.17,0.17,0.17,0.18,0.2,0.21,0.2,0.18,0.15,0.14,0.16,0.17,0.17
25.25,74.75,0.17,0.17,0.17,0.18,0.2,0.21,0.2,0.18,0.15,0.14,0.16,0.17,0.17
25.25,75.25,0.16,0.16,0.17,0.19,0.2,0.22,0.2,0.17,0.16,0.15,0.16,0.16,0.17
25.25,75.75,0.16,0.16,0.17,0.19,0.2,0.22,0.2,0.17,0.16,0.15,0.16,0.16,0.17
25.25,76.25,0.15,0.15,0.16,0.19,0.2,0.21,0.19,0.17,0.15,0.14,0.15,0.15,0.17
25.25,76.75,0.15,0.15,0.16,0.19,0.2,0.21,0.19,0.17,0.15,0.14,0.15,0.15,0.17
25.25,77.25,0.13,0.14,0.15,0.16,0.17,0.19,0.17,0.15,0.13,0.12,0.13,0.13,0.15
25.25,77.75,0.13,0.14,0.15,0.16,0.17,0.19,0.17,0.15,0.13,0.12,0.13,0.13,0.15
25.25,78.25,0.13,0.14,0.14,0.17,0.18,0.2,0.17,0.15,0.13,0.12,0.13,0.13,0.15
25.75,60.25,0.13,0.14,0.13,0.14,0.15,0.17,0.17,0.17,0.15,0.14,0.14,0.14,0.15
25.75,60.75,0.13,0.14,0.13,0.14,0.15,0.17,0.17,0.17,0.15,0.14,0.14,0.14,0.15
25.75,61.25,0.14,0.14,0.14,0.15,0.15,0.17,0.19,0.18,0.15,0.13,0.13,0.13,0.15
25.75,61.75,0.14,0.14,0.14,0.15,0.15,0.17,0.19,0.18,0.15,0.13,0.13,0.13,0.15
25.75,62.25,0.13,0.12,0.12,0.13,0.13,0.15,0.16,0.16,0.13,0.12,0.12,0.12,0.13
25.75,62.75,0.13,0.12,0.12,0.13,0.13,0.15,0.16,0.16,0.13,0.12,0.12,0.12,0.13
25.75,63.25,0.14,0.14,0.14,0.15,0.15,0.17,0.18,0.18,0.15,0.14,0.14,0.14,0.15
25.75,63.75,0.14,0.14,0.14,0.15,0.15,0.17,0.18,0.18,0.15,0.14,0.14,0.14,0.15
25.75,64.25,0.16,0.16,0.16,0.17,0.18,0.21,0.22,0.2,0.17,0.15,0.16,0.15,0.17
25.75,64.75,0.16,0.16,0.16,0.17,0.18,0.21,0.22,0.2,0.17,0.15,0.16,0.15,0.17
25.75,65.25,0.16,0.16,0.16,0.17,0.19,0.21,0.22,0.21,0.18,0.15,0.15,0.16,0.18
25.75,65.75,0.16,0.16,0.16,0.17,0.19,0.21,0.22,0.21,0.18,0.15,0.15,0.16,0.18
25.75,66.25,0.14,0.14,0.14,0.16,0.18,0.2,0.2,0.19,0.16,0.14,0.13,0.14,0.16
25.75,66.75,0.14,0.14,0.14,0.16,0.18,0.2,0.2,0.19,0.16,0.14,0.13,0.14,0.16
25.75,67.25,0.18,0.18,0.19,0.2,0.22,0.25,0.26,0.24,0.19,0.17,0.17,0.18,0.2
25.75,67.75,0.18,0.18,0.19,0.2,0.22,0.25,0.26,0.24,0.19,0.17,0.17,0.18,0.2
25.75,68.25,0.21,0.21,0.22,0.24,0.26,0.29,0.29,0.26,0.23,0.2,0.21,0.21,0.24
25.75,68.75,0.21,0.21,0.22,0.24,0.26,0.29,0.29,0.26,0.23,0.2,0.21,0.21,0.24
25.75,69.25,0.15,0.15,0.15,0.18,0.19,0.21,0.2,0.18,0.16,0.14,0.14,0.15,0.17
25.75,69.75,0.15,0.15,0.15,0.18,0.19,0.21,0.2,0.18,0.16,0.14,0.14,0.15,0.17
25.75,70.25,0.16,0.16,0.16,0.17,0.19,0.21,0.21,0.17,0.14,0.13,0.13,0.14,0.16
25.75,70.75,0.16,0.16,0.16,0.17,0.19,0.21,0.21,0.17,0.14,0.13,0.13,0.14,0.16
25.75,71.25,0.18,0.18,0.19,0.2,0.22,0.23,0.23,0.18,0.16,0.15,0.15,0.17,0.19
25.75,71.75,0.18,0.18,0.19,0.2,0.22,0.23,0.23,0.18,0.16,0.15,0.15,0.17,0.19
25.75,72.25,0.23,0.22,0.24,0.26,0.28,0.3,0.29,0.25,0.21,0.2,0.22,0.22,0.24
25.75,72.75,0.23,0.22,0.24,0.26,0.28,0.3,0.29,0.25,0.21,0.2,0.22,0.22,0.24
25.75,73.25,0.19,0.18,0.2,0.21,0.24,0.25,0.24,0.21,0.17,0.16,0.18,0.18,0.2
25.75,73.75,0.19,0.18,0.2,0.21,0.24,0.25,0.24,0.21,0.17,0.16,0.18,0.18,0.2
25.75,74.25,0.17,0.17,0.17,0.18,0.2,0.21,0.2,0.18,0.15,0.14,0.16,0.17,0.17
25.75,74.75,0.17,0.17,0.17,0.18,0.2,0.21,0.2,0.18,0.15,0.14,0.16,0.17,0.17
25.75,75.25,0.16,0.16,0.17,0.19,0.2,0.22,0.2,0.17,0.16,0.15,0.16,0.16,0.17
25.75,75.75,0.16,0.16,0.17,0.19,0.2,0.22,0.2,0.17,0.16,0.15,0.16,0.16,0.17
25.75,76.25,0.15,0.15,0.16,0.19,0.2,0.21,0.19,0.17,0.15,0.14,0.15,0.15,0.17
25.75,76.75,0.15,0.15,0.16,0.19,0.2,0.21,0.19,0.17,0.15,0.14,0.15,0.15,0.17
