LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
25.75,77.25,0.13,0.14,0.15,0.16,0.17,0.19,0.17,0.15,0.13,0.12,0.13,0.13,0.15
25.75,77.75,0.13,0.14,0.15,0.16,0.17,0.19,0.17,0.15,0.13,0.12,0.13,0.13,0.15
25.75,78.25,0.13,0.14,0.14,0.17,0.18,0.2,0.17,0.15,0.13,0.12,0.13,0.13,0.15
26.25,60.25,0.16,0.17,0.16,0.17,0.18,0.19,0.19,0.19,0.17,0.16,0.17,0.16,0.17
26.25,60.75,0.16,0.17,0.16,0.17,0.18,0.19,0.19,0.19,0.17,0.16,0.17,0.16,0.17
26.25,61.25,0.17,0.16,0.15,0.15,0.16,0.17,0.18,0.18,0.16,0.15,0.16,0.16,0.16
26.25,61.75,0.17,0.16,0.15,0.15,0.16,0.17,0.18,0.18,0.16,0.15,0.16,0.16,0.16
26.25,62.25,0.17,0.16,0.16,0.16,0.16,0.18,0.19,0.18,0.16,0.15,0.16,0.16,0.17
26.25,62.75,0.17,0.16,0.16,0.16,0.16,0.18,0.19,0.18,0.16,0.15,0.16,0.16,0.17
26.25,63.25,0.18,0.16,0.16,0.17,0.17,0.19,0.19,0.19,0.17,0.16,0.17,0.16,0.17
